position,person,personID,start,end
ambassador to Afghanistan,Mohammed Tarshahani,Q48955400,2016-02-02,2022
ambassador to Albania,Mohammed Tarshahani,Q48955400,2006,2010
ambassador to Albania,عصام مصالحة,Q98424378,2010-09-11,2013
ambassador to Albania,ياسر النجار,Q99456390,2013-10-10,2018
ambassador to Albania,Hana'a Shawa,Q102014966,2019-03-17,
ambassador to Algeria,Salah Zawawi,Q25424401,1968,2023-02-20
ambassador to Algeria,حسين عبد الخالق,Q106777204,2010-12-30,2014
ambassador to Algeria,لؤي عيسى,Q99460893,2014,2019
ambassador to Algeria,أمين مقبول,Q99449598,2019,2021
ambassador to Argentina,Husni Abdel Wahed,Q21856446,2015,2021
ambassador to Australia,Izzat Abdul Hadi,Q101069517,2006,
ambassador to Austria,Abdallah Frangi,Q307585,1982,
ambassador to Austria,Salah Abdel Shafi,Q2213790,2013-10-24,
ambassador to Bahrain,أحمد عباس رمضان,Q104223291,2006,2010
ambassador to Bahrain,Khaled Aref,Q99210865,2011,
ambassador to Bangladesh,Yousef Ramadan,Q102177510,2018,
ambassador to Belarus,Montaser Abu Zeid,Q101190577,2002,2010
ambassador to Belarus,Khalid Ariqat,Q16121039,2011,2022
ambassador to Belarus,Ahmed Al Mathbouh,Q111020086,2022-09-02,
ambassador to Belgium,شوقي أرملي,Q105098603,1984,2005
ambassador to Belgium,عبد الرحيم الفرا,Q102047791,2015-10-16,
ambassador to Benin,Azmi Al-Daqqa,Q9163227,2011,2017
ambassador to Bosnia and Herzegovina,Zuhair Al-Shun,Q82082019,2006-04-25,2008
ambassador to Bosnia and Herzegovina,عامر صقر رستم,Q104209922,2008,2009
ambassador to Bosnia and Herzegovina,Khaled Alattrash,Q27683387,2010-01-19,2014
ambassador to Bosnia and Herzegovina,Rezeq Namoura,Q101190387,2014-09-25,
ambassador to Botswana,Taghrid Senouar,Q101831476,2017-10-29,
ambassador to Brazil,Musa Amer Odeh,Q47526457,1995,2005
ambassador to Brazil,Mayada Bamia,Q104214637,2006-05-16,2010
ambassador to Brazil,Ibrahim Al-Zabin,Q100997808,2008-07-24,
ambassador to Brunei,Anwar Elagha,Q106862716,2015-03-04,
ambassador to Brunei,Walid Abu Ali,Q20635435,2019-04-30,
ambassador to Bulgaria,Nemer Ismail,Q42537656,2006,2008
ambassador to Bulgaria,Ahmed Al Mathbouh,Q111020086,2009-01-21,2022-08-20
ambassador to Canada,Baker Abdel Munem,Q4849108,1995,2005
ambassador to Canada,Linda Sobeh,Q28530835,2010-07,2011-10-19
ambassador to Canada,Nabil Maaruf,Q71571310,2015,2019
ambassador to Canada,Hala Abou Hassira,Q101755059,2020-05-23,2021
ambassador to Canada,Mona Abu Amara,Q114568789,2021,
ambassador to Cape Verde,Safwat Ibraghith,Q100997807,2016-03-22,2022-08-16
ambassador to Chile,حسين عبد الخالق,Q106777204,1992,2000-09
ambassador to Chile,صبري عطية,Q104218739,2000,2005
ambassador to Chile,Mai al-Kaila,Q63349096,2006,2013
ambassador to Chile,عماد الجدع,Q106777205,2014-03-04,2022
ambassador to Chile,Vera Baboun,Q1770922,2022-12-08,
ambassador to Colombia,عماد الجدع,Q106777205,2008,2013
ambassador to Colombia,رؤوف المالكي,Q100742679,2014-05-29,
ambassador to Croatia,Salah Abdel Shafi,Q2213790,2021-10-15,
ambassador to Cuba,عماد الجدع,Q106777205,1988,2005
ambassador to Cyprus,زكريا عبد الرحيم,Q106765032,1975,2022-08-02
ambassador to Cyprus,سمير أبو غزالة,Q113573669,1984,2005
ambassador to Cyprus,وليد حسن,Q102015800,2011-06-06,2017
ambassador to Cyprus,Jubran Altawil,Q99581280,2017-09,2020-09-06
ambassador to the Czech Republic,Samih Abdel Fattah,Q106777200,1993,
ambassador to the Czech Republic,محمد السلايمة,Q106777201,2006-03-21,2013
ambassador to the Czech Republic,Khaled Alattrash,Q27683387,2014-10,
ambassador to Denmark,عمر كتمتو,Q104840469,1985,
ambassador to Denmark,عمرو الحوراني,Q104841248,2007,2015
ambassador to Denmark,Mufeed Shami,Q102177603,2015,2019
ambassador to Denmark,Manuel Hassassian,Q6752623,2020-10-20,
ambassador to Ecuador,Walid Abdel Rahim,Q100997806,2008,2013
ambassador to Ecuador,هاني الريماوي,Q100997805,2014-07-22,
ambassador to Egypt,زهدي القدرة,Q101792724,1994,2005
ambassador to Egypt,منذر الدجاني,Q104217993,2005,2008
ambassador to Egypt,Nabil Amr,Q1800210,2008,2009
ambassador to Egypt,بركات الفرا,Q104093992,2009,2014
ambassador to Egypt,Jamal Al Shobaki,Q89281074,2014,2017
ambassador to Egypt,Diab Al-Louh,Q99445772,2017,
ambassador to El Salvador,محمد عمرو,Q100723375,2017-08-23,2018
ambassador to El Salvador,Marwan Al Borini,Q101069177,2018-06-12,
ambassador to Ethiopia,Zuhair Al-Shun,Q82082019,2008-04-19,2015
ambassador to Ethiopia,Nasri Abu Jaish,Q82059994,2015-10-26,2019
